path	upstream_delta	project_relation	resolution	schema_affected	template_meta	rationale
TODO.md	unchanged	customized-shared	keep	no	no	no upstream change
_docs/archives/draft/.gitkeep	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/archives/plan/.gitkeep	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/archives/plan/Core/action-buffer-time.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/plan/Core/calendar-registration-enhancement.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/plan/Core/pro-free-gate.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/plan/Core/revenuecat-purchase-flow.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/plan/Core/revenuecat-supabase-entitlement-sync.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/plan/Core/reviewer-temporary-entitlement.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/plan/Core/subscription-management-route.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/plan/Core/timeline-image-share.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/plan/Core/timeline-templates.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/plan/Core/timeline-text-share.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/plan/UI/timeline-compact-overview.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/plan/UI/timeline-sidebar-double-tap-insert.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/plan/UI/timeline-slot-toggle.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/plan/UI/timeline-title-search-jump.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/archives/survey/.gitkeep	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/documentation_guide.md	modified	customized-shared	merge	no	no	pathwise merge preserves project-specific content
_docs/draft/.gitkeep	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/guide/.gitkeep	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/guide/flutter/environment_setup.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/guide/medo/google_play_data_safety_memo.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/guide/medo/privacy_policy_operations.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/guide/medo/timeline_editor.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/intent/.gitkeep	unchanged	upstream-owned-unmodified	keep	yes	no	no upstream change
_docs/intent/Workflow/docs-template-v1-migration/decision.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/Workflow/lifecycle-self-audit/decision.md	removed	customized-shared	remove	yes	yes	path was already absent at cutoff; accept upstream removal without a migration deletion
_docs/intent/medo/action_buffer_time.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/billing_logout_state_boundary.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/calendar_export_ics.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/drift_persistence_repository.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/local_reminder_notifications.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/pro_free_gate.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/reorder_placement_preview.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/revenuecat_purchase_flow.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/revenuecat_supabase_entitlement_sync.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/reverse_timeline_interaction_model.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/reviewer_temporary_entitlement.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/subscription_management_route.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/timeline_compact_overview.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/timeline_image_share.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/timeline_list_management.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/timeline_sidebar_double_tap_insert.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/timeline_templates.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/timeline_text_share.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/timeline_title_search_jump.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/intent/medo/usage_analytics.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/plan/.gitkeep	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/plan/Core/account-deletion-local-cleanup.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/Core/block-pin-type-toggle.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/Core/calendar-export-rebuild-deduplication.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/Core/flutter-web-drift-minimum.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/Core/purchase-auth-gate.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/Core/usage-analytics-hardening.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/Core/usage-analytics.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/UI/block-affordance-swipe-containment.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/UI/reorder-overview-scaling.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/UI/swipe-delete-undo-snackbar.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/UI/template-save-flow-alignment.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/UI/template-toolbar-popover.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/UI/timeline-alternative-comparison.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/UI/timeline-interaction-performance.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/UI/two-step-timeline-density.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/UI/ui-layering-standard-alignment.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/Workflow/docs-template-v1-migration/plan.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/plan/Workflow/lifecycle-self-audit/plan.md	removed	customized-shared	remove	no	yes	path was already absent at cutoff; accept upstream removal without a migration deletion
_docs/qa/.gitkeep	unchanged	upstream-owned-unmodified	keep	yes	no	no upstream change
_docs/qa/Workflow/docs-template-v1-migration/inventory.tsv	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/qa/Workflow/docs-template-v1-migration/test-plan.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/qa/Workflow/docs-template-v1-migration/verification.md	unchanged	project-only	keep	yes	no	project-only path remains outside template reconciliation
_docs/qa/Workflow/lifecycle-self-audit/test-plan.md	removed	customized-shared	remove	yes	yes	path was already absent at cutoff; accept upstream removal without a migration deletion
_docs/qa/Workflow/lifecycle-self-audit/verification.md	removed	customized-shared	remove	yes	yes	path was already absent at cutoff; accept upstream removal without a migration deletion
_docs/reference/.gitkeep	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/reference/medo/calendar_export_reference.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/reference/medo/image_export_reference.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/reference/medo/persistence_repository_reference.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/reference/medo/reminder_notification_reference.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/reference/medo/text_export_reference.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/reference/medo/timeline_domain_reference.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/standards/documentation_guidelines.md	modified	customized-shared	merge	no	no	pathwise merge preserves project-specific content
_docs/standards/documentation_operations.md	modified	upstream-owned-unmodified	apply	yes	no	cutoff matches B, so apply the exact upstream update
_docs/standards/privacy-policy.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/standards/quality_assurance.md	unchanged	upstream-owned-unmodified	keep	yes	no	no upstream change
_docs/standards/security_for_agents.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/standards/templates/draft.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/standards/templates/guide.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/standards/templates/intent.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/standards/templates/plan.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/standards/templates/qa-test-plan.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/standards/templates/qa-verification.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/standards/templates/reference.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/standards/templates/survey.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/standards/ui_layering.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_docs/survey/.gitkeep	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_docs/survey/UI/timeline-interaction-performance-profile.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
_evals/agent-workflows/README.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/agent-workflow-misbehavior-check.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/archive-flow.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/blocked-verification.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/breaking-change.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/bug-regression-test.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/experimental-baseline.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/high-risk-change-verification.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/historical-prompt-not-operational.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
_evals/agent-workflows/cases/intentional-omission-risk.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
_evals/agent-workflows/cases/malformed-todo-heading.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
_evals/agent-workflows/cases/medium-feature.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/misleading-optimization.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/qa-prep-from-intent.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/qa-status-verdict-mismatch.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
_evals/agent-workflows/cases/rationale-preserving-change.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/refactor-behavior-preservation.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/small-bug.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/stale-draft-cleanup.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/cases/template-version-migration.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/agent-workflows/expected-invariants.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
_evals/validator-fixtures/README.md	modified	customized-shared	merge	no	no	pathwise merge preserves project-specific content
_evals/validator-fixtures/frontmatter/invalid/duplicate-block.txt	unchanged	project-only	remove	yes	no	owner-authorized cleanup; replaced by v1.2.0 duplicate-field fixture and no active references remain
_evals/validator-fixtures/frontmatter/invalid/duplicate-field.md	added	customized-shared	apply	yes	no	import the v1.2.0 consumer file
_evals/validator-fixtures/frontmatter/invalid/intent-schema-on-qa.md	added	customized-shared	apply	yes	no	import the v1.2.0 consumer file
_evals/validator-fixtures/frontmatter/invalid/qa-schema-on-intent.md	added	customized-shared	apply	yes	no	import the v1.2.0 consumer file
_evals/validator-fixtures/frontmatter/invalid/unknown-field.md	added	customized-shared	apply	yes	no	import the v1.2.0 consumer file
_evals/validator-fixtures/frontmatter/invalid/wrong-type.md	added	customized-shared	apply	yes	no	import the v1.2.0 consumer file
_evals/validator-fixtures/frontmatter/valid/intent-schema.md	added	customized-shared	merge	yes	no	preserve cutoff customization while adopting the added contract
_evals/validator-fixtures/frontmatter/valid/qa-schema.md	added	customized-shared	merge	yes	no	preserve cutoff customization while adopting the added contract
_evals/validator-fixtures/frontmatter/warning/schema-on-wrong-type.md	unchanged	project-only	remove	yes	no	owner-authorized cleanup; replaced by v1.2.0 wrong-type fixture and no active references remain
_evals/validator-fixtures/frontmatter/warning/unknown-field.md	unchanged	project-only	remove	yes	no	owner-authorized cleanup; replaced by v1.2.0 unknown-field fixture and no active references remain
_evals/validator-fixtures/intent/invalid/missing-why.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/validator-fixtures/intent/invalid/orphan-invariant.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/validator-fixtures/intent/valid/decision.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/validator-fixtures/links/valid-reference-anchor.md	unchanged	customized-shared	keep	no	no	no upstream change
_evals/validator-fixtures/qa/invalid/missing-invariant.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
_evals/validator-fixtures/qa/invalid/qa-archive-path.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
_evals/validator-fixtures/qa/invalid/status-verdict-mismatch.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
_evals/validator-fixtures/qa/invalid/v2-missing-decision-scope.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
_evals/validator-fixtures/qa/invalid/verification-in-progress-status.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
_evals/validator-fixtures/qa/invalid/verification-missing-test-plan-reference.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
_evals/validator-fixtures/qa/valid/test-plan.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
_evals/validator-fixtures/qa/valid/verification-pass.md	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
_evals/validator-fixtures/todo/invalid/malformed-heading.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/validator-fixtures/todo/invalid/mismatched-heading-id.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/validator-fixtures/todo/invalid/missing-qa-for-medium.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/validator-fixtures/todo/invalid/missing-title.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
_evals/validator-fixtures/todo/valid/basic.md	unchanged	upstream-owned-unmodified	keep	no	no	no upstream change
analysis_options.yaml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/.gitignore	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/build.gradle.kts	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/debug/AndroidManifest.xml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/AndroidManifest.xml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/kotlin/dev/otibo/medo/MainActivity.kt	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/res/drawable-v21/launch_background.xml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/res/drawable/launch_background.xml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/res/drawable/notification_icon.xml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/res/mipmap-hdpi/ic_launcher.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/res/mipmap-mdpi/ic_launcher.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/res/mipmap-xhdpi/ic_launcher.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/res/values-night/colors.xml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/res/values-night/styles.xml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/res/values/colors.xml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/main/res/values/styles.xml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/app/src/profile/AndroidManifest.xml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/build.gradle.kts	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/gradle.properties	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/gradle/wrapper/gradle-wrapper.properties	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
android/settings.gradle.kts	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
assets/images/medo_icon.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
deno.json	added	customized-shared	apply	no	no	import the v1.2.0 consumer file
devtools_options.yaml	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
docs-template.lock.example.json	modified	upstream-owned-unmodified	apply	no	no	cutoff matches B, so apply the exact upstream update
docs-template.lock.json	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/.gitignore	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Flutter/AppFrameworkInfo.plist	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Flutter/Debug.xcconfig	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Flutter/Release.xcconfig	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner.xcodeproj/project.pbxproj	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner.xcodeproj/project.xcworkspace/contents.xcworkspacedata	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner.xcodeproj/xcshareddata/xcschemes/Runner.xcscheme	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner.xcworkspace/contents.xcworkspacedata	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/AppDelegate.swift	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-1024x1024@1x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@1x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@2x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@3x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@1x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@2x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-29x29@3x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@1x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@2x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-40x40@3x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@2x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-60x60@3x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-76x76@1x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-76x76@2x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-83.5x83.5@2x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@2x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/LaunchImage.imageset/LaunchImage@3x.png	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Base.lproj/LaunchScreen.storyboard	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Base.lproj/Main.storyboard	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Info.plist	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/Runner-Bridging-Header.h	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/Runner/SceneDelegate.swift	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
ios/RunnerTests/RunnerTests.swift	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
lib/analytics/usage_analytics.dart	unchanged	project-only	keep	no	no	project-only path remains outside template reconciliation
