# docs-template v1.0.0 migration inventory
# B=1f7c92c53fa9df63de05da046a049507fcb4efac (owner-authorized synthetic comparison baseline; NOT an exact adoption record)
# U=v1.0.0@f71e9ab20466ea2972158334261f5ae2b2265754
# P=7990a6c68e9b6c0a25e6bc4ed41e7add5b6866a3 (clean owner-approved cutoff; isolated worktree)
# project relation override: every P-present B/U overlap is customized-shared because P is a mixed bundle
# resolution values: apply|merge|keep|remove|defer; disposition records non-destructive handling separately
path	upstream_delta	project_relation	resolution	disposition	rationale
.markdownlint.jsonc	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
.metadata	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
.opencode/skills/debug/SKILL.md	D	upstream-owned-unmodified	remove	absent-at-P	upstream-removed-and-not-present-at-owner-cutoff-no-worktree-deletion
.opencode/skills/docs-cleanup/SKILL.md	D	upstream-owned-unmodified	remove	absent-at-P	upstream-removed-and-not-present-at-owner-cutoff-no-worktree-deletion
.opencode/skills/docs-prep/SKILL.md	D	upstream-owned-unmodified	remove	absent-at-P	upstream-removed-and-not-present-at-owner-cutoff-no-worktree-deletion
.opencode/skills/frontend-design/SKILL.md	D	upstream-owned-unmodified	remove	absent-at-P	upstream-removed-and-not-present-at-owner-cutoff-no-worktree-deletion
.opencode/skills/implementation-prep/SKILL.md	D	upstream-owned-unmodified	remove	absent-at-P	upstream-removed-and-not-present-at-owner-cutoff-no-worktree-deletion
.opencode/skills/post-implementation/SKILL.md	D	upstream-owned-unmodified	remove	absent-at-P	upstream-removed-and-not-present-at-owner-cutoff-no-worktree-deletion
.template-legacy/README.md	n/a	migration-created	keep	none	non-operational-quarantine-boundary
.template-legacy/standards/jj_workflow.md	n/a	migration-created	keep	quarantine	owner-protected-customized-standard-preserved-outside-active-guidance
.vscode/extensions.json	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
.vscode/settings.json	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
AGENTS.md	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
CLAUDE.md	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
LICENSE.txt	M	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
QUICKSTART.md	A	upstream-owned-unmodified	defer	none	generic-root-guidance-would-be-stale-for-established-Medo-project
README.md	M	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
TODO.md	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_docs/archives/draft/.gitkeep	unchanged	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_docs/archives/plan/.gitkeep	unchanged	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_docs/archives/plan/Core/action-buffer-time.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/plan/Core/calendar-registration-enhancement.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/plan/Core/pro-free-gate.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/plan/Core/revenuecat-purchase-flow.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/plan/Core/revenuecat-supabase-entitlement-sync.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/plan/Core/reviewer-temporary-entitlement.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/plan/Core/subscription-management-route.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/plan/Core/timeline-image-share.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/plan/Core/timeline-templates.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/plan/Core/timeline-text-share.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/plan/UI/timeline-compact-overview.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/plan/UI/timeline-sidebar-double-tap-insert.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/plan/UI/timeline-slot-toggle.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/plan/UI/timeline-title-search-jump.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/archives/survey/.gitkeep	unchanged	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_docs/documentation_guide.md	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_docs/draft/.gitkeep	unchanged	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_docs/guide/.gitkeep	unchanged	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_docs/guide/flutter/environment_setup.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/guide/medo/google_play_data_safety_memo.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/guide/medo/privacy_policy_operations.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/guide/medo/timeline_editor.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/.gitkeep	unchanged	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_docs/intent/Workflow/docs-template-v1-migration/decision.md	n/a	migration-created	apply	none	migration-contract-or-learned-v1-hardening-artifact
_docs/intent/Workflow/lifecycle-self-audit/decision.md	A	upstream-owned-unmodified	defer	none	upstream-template-self-history-not-imported
_docs/intent/medo/action_buffer_time.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/billing_logout_state_boundary.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/calendar_export_ics.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/drift_persistence_repository.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/local_reminder_notifications.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/pro_free_gate.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/reorder_placement_preview.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/revenuecat_purchase_flow.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/revenuecat_supabase_entitlement_sync.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/reverse_timeline_interaction_model.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/reviewer_temporary_entitlement.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/subscription_management_route.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/timeline_compact_overview.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/timeline_image_share.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/timeline_list_management.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/timeline_sidebar_double_tap_insert.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/timeline_templates.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/timeline_text_share.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/timeline_title_search_jump.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/intent/medo/usage_analytics.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/.gitkeep	unchanged	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_docs/plan/Core/account-deletion-local-cleanup.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/Core/block-pin-type-toggle.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/Core/calendar-export-rebuild-deduplication.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/Core/flutter-web-drift-minimum.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/Core/purchase-auth-gate.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/Core/usage-analytics-hardening.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/Core/usage-analytics.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/UI/block-affordance-swipe-containment.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/UI/reorder-overview-scaling.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/UI/swipe-delete-undo-snackbar.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/UI/template-save-flow-alignment.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/UI/template-toolbar-popover.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/UI/timeline-alternative-comparison.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/UI/timeline-interaction-performance.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/UI/two-step-timeline-density.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/UI/ui-layering-standard-alignment.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/plan/Workflow/docs-template-v1-migration/plan.md	n/a	migration-created	apply	none	migration-contract-or-learned-v1-hardening-artifact
_docs/plan/Workflow/lifecycle-self-audit/plan.md	A	upstream-owned-unmodified	defer	none	upstream-template-self-history-not-imported
_docs/qa/.gitkeep	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_docs/qa/Workflow/docs-template-v1-migration/inventory.tsv	n/a	migration-created	apply	none	complete-pathwise-inventory-artifact
_docs/qa/Workflow/docs-template-v1-migration/test-plan.md	n/a	migration-created	apply	none	migration-contract-or-learned-v1-hardening-artifact
_docs/qa/Workflow/docs-template-v1-migration/verification.md	n/a	migration-created	apply	none	closure-evidence-artifact
_docs/qa/Workflow/lifecycle-self-audit/test-plan.md	A	upstream-owned-unmodified	defer	none	upstream-template-self-history-not-imported
_docs/qa/Workflow/lifecycle-self-audit/verification.md	A	upstream-owned-unmodified	defer	none	upstream-template-self-history-not-imported
_docs/reference/.gitkeep	unchanged	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_docs/reference/medo/calendar_export_reference.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/reference/medo/image_export_reference.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/reference/medo/persistence_repository_reference.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/reference/medo/reminder_notification_reference.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/reference/medo/text_export_reference.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/reference/medo/timeline_domain_reference.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/standards/documentation_guidelines.md	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_docs/standards/documentation_operations.md	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_docs/standards/jj_workflow.md	D	customized-shared	keep	quarantine	customized-B-removed-standard-preserved-outside-active-guidance-no-jj-worktree-or-references
_docs/standards/privacy-policy.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/standards/quality_assurance.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_docs/standards/security_for_agents.md	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_docs/standards/templates/draft.md	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_docs/standards/templates/guide.md	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_docs/standards/templates/intent.md	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_docs/standards/templates/plan.md	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_docs/standards/templates/qa-test-plan.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_docs/standards/templates/qa-verification.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_docs/standards/templates/reference.md	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_docs/standards/templates/survey.md	M	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_docs/standards/ui_layering.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_docs/survey/.gitkeep	unchanged	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_docs/survey/UI/timeline-interaction-performance-profile.md	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
_evals/agent-workflows/README.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/agent-workflows/cases/agent-workflow-misbehavior-check.md	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_evals/agent-workflows/cases/archive-flow.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/agent-workflows/cases/blocked-verification.md	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_evals/agent-workflows/cases/breaking-change.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/agent-workflows/cases/bug-regression-test.md	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_evals/agent-workflows/cases/experimental-baseline.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/agent-workflows/cases/high-risk-change-verification.md	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_evals/agent-workflows/cases/historical-prompt-not-operational.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/agent-workflows/cases/intentional-omission-risk.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/agent-workflows/cases/malformed-todo-heading.md	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_evals/agent-workflows/cases/medium-feature.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/agent-workflows/cases/misleading-optimization.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/agent-workflows/cases/qa-prep-from-intent.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/agent-workflows/cases/qa-status-verdict-mismatch.md	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_evals/agent-workflows/cases/rationale-preserving-change.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/agent-workflows/cases/refactor-behavior-preservation.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/agent-workflows/cases/small-bug.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/agent-workflows/cases/stale-draft-cleanup.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/agent-workflows/cases/template-version-migration.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/agent-workflows/expected-invariants.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/validator-fixtures/README.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/validator-fixtures/frontmatter/invalid/duplicate-block.txt	n/a	migration-created	apply	none	learned-schema-wrong-unknown-duplicate-fixture-hardening
_evals/validator-fixtures/frontmatter/valid/intent-schema.md	n/a	migration-created	apply	none	learned-schema-wrong-unknown-duplicate-fixture-hardening
_evals/validator-fixtures/frontmatter/valid/qa-schema.md	n/a	migration-created	apply	none	learned-schema-wrong-unknown-duplicate-fixture-hardening
_evals/validator-fixtures/frontmatter/warning/schema-on-wrong-type.md	n/a	migration-created	apply	none	learned-schema-wrong-unknown-duplicate-fixture-hardening
_evals/validator-fixtures/frontmatter/warning/unknown-field.md	n/a	migration-created	apply	none	learned-schema-wrong-unknown-duplicate-fixture-hardening
_evals/validator-fixtures/intent/invalid/missing-why.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/validator-fixtures/intent/invalid/orphan-invariant.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/validator-fixtures/intent/valid/decision.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/validator-fixtures/links/valid-reference-anchor.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/validator-fixtures/qa/invalid/missing-invariant.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/validator-fixtures/qa/invalid/qa-archive-path.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/validator-fixtures/qa/invalid/status-verdict-mismatch.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/validator-fixtures/qa/invalid/v2-missing-decision-scope.md	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
_evals/validator-fixtures/qa/invalid/verification-in-progress-status.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/validator-fixtures/qa/invalid/verification-missing-test-plan-reference.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/validator-fixtures/qa/valid/test-plan.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/validator-fixtures/qa/valid/verification-pass.md	A	customized-shared	merge	none	pathwise-merge-preserves-P-customization-and-v1-contract
_evals/validator-fixtures/todo/invalid/malformed-heading.md	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_evals/validator-fixtures/todo/invalid/mismatched-heading-id.md	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_evals/validator-fixtures/todo/invalid/missing-qa-for-medium.md	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_evals/validator-fixtures/todo/invalid/missing-title.md	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
_evals/validator-fixtures/todo/valid/basic.md	A	customized-shared	keep	none	conservative-customized-overlap-retained-byte-identical-to-P
analysis_options.yaml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/.gitignore	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/build.gradle.kts	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/debug/AndroidManifest.xml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/AndroidManifest.xml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/kotlin/dev/otibo/medo/MainActivity.kt	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/res/drawable-v21/launch_background.xml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/res/drawable/launch_background.xml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/res/drawable/notification_icon.xml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/res/mipmap-hdpi/ic_launcher.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/res/mipmap-mdpi/ic_launcher.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/res/mipmap-xhdpi/ic_launcher.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/res/mipmap-xxhdpi/ic_launcher.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/res/mipmap-xxxhdpi/ic_launcher.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/res/values-night/colors.xml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/res/values-night/styles.xml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/res/values/colors.xml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/main/res/values/styles.xml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/app/src/profile/AndroidManifest.xml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/build.gradle.kts	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/gradle.properties	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/gradle/wrapper/gradle-wrapper.properties	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
android/settings.gradle.kts	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
assets/images/medo_icon.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
devtools_options.yaml	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
docs-template.lock.example.json	A	upstream-owned-unmodified	apply	none	upstream-v1-distribution-addition
docs-template.lock.json	n/a	migration-created	apply	none	final-write-exact-v1-provenance-lock
ios/.gitignore	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Flutter/AppFrameworkInfo.plist	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Flutter/Debug.xcconfig	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Flutter/Release.xcconfig	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner.xcodeproj/project.pbxproj	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner.xcodeproj/project.xcworkspace/contents.xcworkspacedata	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner.xcodeproj/xcshareddata/xcschemes/Runner.xcscheme	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner.xcworkspace/contents.xcworkspacedata	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner.xcworkspace/xcshareddata/WorkspaceSettings.xcsettings	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/AppDelegate.swift	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-1024x1024@1x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@1x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
ios/Runner/Assets.xcassets/AppIcon.appiconset/Icon-App-20x20@2x.png	unchanged	project-only	keep	none	project-only-runtime-test-asset-or-project-document-preserved
